IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
4967,37.2056200,55.7277600,1,90,0,0
4969,37.6164900,55.4411500,5,110,1,10
5014,37.6062300,55.4081100,5,90,2,189
5022,37.3534300,55.7947500,5,80,1,129
5023,38.1852100,55.4763600,5,60,1,134
5024,38.0560300,55.7506600,5,60,0,261
5061,37.6340300,55.7938700,5,0,1,207
5064,37.6247700,55.6070900,5,60,1,299
5065,38.0488900,55.8061800,5,60,1,79
5111,37.2379500,55.3984600,1,60,0,0
5324,38.1946300,56.0352200,5,90,2,48
5329,37.6568700,55.7624900,5,60,1,164
5369,38.1998700,55.4659800,5,0,1,352
5374,37.0832800,55.9788200,5,60,1,120
5403,37.8953900,55.4182600,5,0,1,146
5404,37.9590000,55.5143400,5,90,1,196
5405,37.8869300,55.4253400,5,70,1,146
5406,37.8610800,55.4485700,5,90,1,155
5413,37.3845200,55.9263100,5,60,1,143
5414,37.3539700,55.9482800,5,60,1,322
5415,37.4715400,56.0257700,5,60,2,304
5481,37.4394700,55.8724200,1,60,1,318
5526,37.2664900,55.6512000,5,60,2,71
5683,37.8304700,55.7740000,1,60,1,68
5684,37.5593400,55.7343400,5,60,1,232
5810,38.1140500,55.3714700,5,0,2,82
5904,37.2904300,55.6556600,5,0,1,72
5908,37.6671200,55.7007900,5,60,1,182
5918,37.8734800,55.5622600,5,0,0,0
5934,37.8219700,55.3938300,5,60,2,87
5935,37.8153700,55.3937200,5,60,2,89
5982,38.0118500,55.8594300,5,90,1,88
5995,37.6344100,55.7918600,1,60,1,175
6019,37.9938400,55.5946500,5,60,1,133
6048,37.3488700,55.9514300,5,60,1,145
6049,37.4172400,55.8819700,3,80,1,140
6052,37.6796500,55.8949400,1,100,1,93
6056,37.3986100,55.8512800,5,0,1,287
6149,37.6826600,55.5540000,5,70,1,193
6593,37.8293600,55.7135400,1,60,2,300
10039,37.1742800,56.0273900,1,60,1,304
10042,37.1840850,55.8503630,1,60,1,312
10049,37.2361500,55.7796100,1,60,1,47
10050,37.2474700,55.7856900,1,60,1,240
10051,37.2498500,55.6657900,1,60,1,240
10057,37.3152200,55.8032700,1,70,1,300
10058,37.3165800,55.6877700,1,60,1,250
10082,37.5266200,55.9983100,1,60,1,133
10083,37.5297230,55.9855642,1,60,1,24
10086,37.5349650,55.7606000,1,80,2,15
10089,37.5337000,55.3749660,1,60,1,192
10090,37.5401739,56.0045898,1,60,1,210
10097,37.6031640,55.7925810,1,60,1,84
10098,37.6383390,55.7042300,1,80,1,100
10099,37.6077800,55.7011940,1,80,1,117
10100,37.6153733,55.6226507,1,60,1,17
10102,37.6096200,55.5025800,1,110,1,175
10103,37.6099700,55.5020800,1,110,1,355
10107,37.6169400,55.4456900,1,70,1,186
10108,37.6171900,55.4451900,1,70,1,6
10116,37.6412000,55.7041000,1,80,1,280
10120,37.6839700,55.7153300,1,80,1,55
10121,37.6866299,55.7163051,1,80,1,247
10123,37.7035870,55.6326330,1,80,1,328
10126,37.7381700,55.5863700,1,60,2,310
10127,37.7486500,55.4756200,1,110,1,156
10128,37.7494400,55.4750900,1,110,1,340
10134,37.7841300,55.4039800,1,110,1,30
10135,37.7860800,55.4063600,1,110,1,212
10138,37.8121400,55.9401700,1,60,1,187
10139,37.8128200,55.9398400,1,60,1,18
10146,37.8287550,55.5137120,1,90,1,155
10149,37.8397400,55.9647400,1,60,1,35
10151,37.8513020,55.4819670,1,90,1,172
10153,37.8770700,55.9989100,1,50,1,13
10154,37.8811500,55.8242300,1,60,1,254
10163,37.9296400,55.6596300,1,60,1,258
